"filename", "language", "JSON", "XML", "JavaScript", "YAML", "JSON with Comments", "TypeScript", "Docker", "Ignore", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\currency\instant-switcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 168, 0, 33, 20, 221
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\currency\navbar-integration.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 45, 19, 200
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\dashboard\order-history.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 9, 13, 118
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\dashboard\rewards.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 4, 7, 44
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\dashboard\user-profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 7, 13, 95
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\home\newsletter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 7, 73
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\home\story-banner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\home\trending.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 3, 7, 85
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\layout\footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 211, 0, 12, 20, 243
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\layout\language-switcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 1, 11, 88
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\layout\navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 409, 0, 30, 30, 469
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\locale-header-init.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 26, 7, 50
